name,sex,age,height,mass,bmi
Joanne Mason,female,44,162.1,56.8,21.6
Edgar Robertson,male,43,187.9,111.9,31.7
Irene Wade,female,38,157.5,76.9,31
Rose Murray,female,41,164.4,83.2,30.8
Jim Romero,male,27,171.5,92.9,31.6
Dale Washington,male,55,168.8,109.7,38.5
Michelle Wilson,female,82,160.5,80.9,31.4
Benjamin Pearson,male,40,171.5,78.5,26.7
Kirk Holland,male,55,176.9,84.5,27
Charlene Freeman,female,76,164.1,101.5,37.7
Zachary Gonzalez,male,41,171.4,59,20.1
Annette Reed,female,36,154.9,63.1,26.3
Emma Rose,female,46,160.2,40.5,15.8
Donald White,male,39,182.4,111.5,33.5
Nancy Crawford,female,76,165.7,59.9,21.8
David Austin,male,82,168.3,75.3,26.6
Lee Caldwell,male,88,165.3,96.5,35.3
Ruben Taylor,male,38,165.1,73.6,27
Tony Ford,male,51,177.3,102.8,32.7
Maureen Hopkins,female,74,161.7,78.4,30
Donald Peters,male,83,174.6,79,25.9
Heather Neal,female,38,164.8,85,31.3
Nicole Shelton,female,75,162.3,92.7,35.2
Alice Schmidt,female,74,169.3,56.5,19.7
Manuel Harris,male,63,174.7,95.5,31.3
Evelyn Green,female,45,159.1,91.6,36.2
Guy James,male,77,178.9,110.7,34.6
Kim Griffin,female,45,159,56.6,22.4
Wanda Thompson,female,44,154.3,55.2,23.2
Nelson Hunt,male,52,173.8,105.4,34.9
