name,sex,age,height,mass,bmi
Ronald Duncan,male,43,187.4,112.7,32.1
Jerome Murphy,male,57,190.2,95.9,26.5
Mitchell Caldwell,male,33,181.3,111.4,33.9
Janice Graves,female,85,145.3,75.4,35.7
Sara Mason,female,41,164,85.8,31.9
Sue Brown,female,80,158.4,48.2,19.2
Jamie Carr,male,68,179.5,107.3,33.3
Dwight Jones,male,70,179.5,112.1,34.8
Olga Ray,female,29,161.5,83.7,32.1
Lena Shelton,female,53,160,97,37.9
Susan Chambers,female,22,157,86.3,35
Janice Ford,female,47,148.1,71.9,32.8
Velma Cole,female,64,163.8,71.4,26.6
Leonard Bryant,male,23,174.4,99.2,32.6
Michael Robertson,male,54,174.6,64.9,21.3
Amber Scott,female,58,158.4,62.5,24.9
Charlotte Ward,female,87,158,79.4,31.8
Salvador Barnett,male,83,169.4,68.3,23.8
Wesley Lucas,male,87,178.5,47.5,14.9
Phyllis Adams,female,78,184.2,90.6,26.7
Claudia Jennings,female,40,159.8,56.2,22
Miguel Ramirez,male,48,167.2,76.3,27.3
Billy Walker,male,53,176,93.9,30.3
Regina King,female,30,167.2,102.3,36.6
Patsy Harvey,female,78,151,55.4,24.3
Jeremy Porter,male,43,179.3,77.5,24.1
Harvey Schmidt,male,87,187.9,105.6,29.9
Lawrence Fox,male,73,158,59.7,23.9
Courtney Hill,female,67,158.2,73.6,29.4
Jimmy Marshall,male,67,172.2,109.4,36.9
