name,sex,age,height,mass,bmi
Diane Chapman,female,51,155.3,68,28.2
Jeanne Hunter,female,57,171.7,66.9,22.7
Ramon Wagner,male,87,167.4,62.2,22.2
Ethel Green,female,39,157.5,61.3,24.7
Marvin Bell,male,58,173.5,96.3,32
Ronald Hill,male,69,190.2,128.1,35.4
Pedro Banks,male,73,169.2,80.4,28.1
Joann Castro,female,42,166.3,106.5,38.5
Byron Stanley,male,64,177.6,79.2,25.1
Terrance Miles,male,56,186.3,114.5,33
Mae Henderson,female,27,172.3,84.3,28.4
Naomi Watson,female,71,161.6,93.2,35.7
Reginald Sutton,male,83,174.1,79.4,26.2
Julio Robertson,male,60,165.5,78.3,28.6
Jack Nguyen,male,45,184.3,91.4,26.9
Bertha Jones,female,72,172.7,82.3,27.6
Jesus Grant,male,83,180.8,76.2,23.3
Willie Chambers,male,26,173.2,87.9,29.3
Sarah Hughes,female,83,159.1,73.7,29.1
Nathaniel Richards,male,72,157.6,88.7,35.7
Katherine Medina,female,46,169.3,50.2,17.5
Colleen Warren,female,45,153.2,62.2,26.5
Anne Weaver,female,86,162.7,80.5,30.4
Yvonne Herrera,female,54,151.9,38.3,16.6
Juanita Gregory,female,48,154.9,61.9,25.8
Ross Miles,male,37,170.5,72.1,24.8
Kelly Perez,male,51,175.9,90.7,29.3
Jean Edwards,female,61,168.5,74.1,26.1
Lewis Neal,male,64,183.7,105.3,31.2
Julie Ellis,female,83,156.7,78.8,32.1
