name,sex,age,height,mass,bmi
Adam Walters,male,60,168.2,87.7,31
Cheryl Palmer,female,24,166.5,76.5,27.6
Peter Stephens,male,83,178.1,73.9,23.3
Marlene Robinson,female,58,158,55.9,22.4
Mabel Burke,female,68,162.2,76.3,29
Maurice Ray,male,86,173.6,68.7,22.8
Tara Medina,female,33,155,62.5,26
Lance Richards,male,82,171.1,76.1,26
Lucille Gardner,female,75,172.6,104.9,35.2
Nellie Wade,female,87,163.3,106.1,39.8
Becky Pierce,female,84,155.6,55,22.7
Russell Payne,male,27,170.5,99.7,34.3
Gloria Howell,female,25,154.3,67.4,28.3
Jeffery Lambert,male,21,181.6,79.5,24.1
Agnes Washington,female,29,155.1,65.9,27.4
Leslie Nguyen,male,78,170.5,97.1,33.4
Rita Rice,female,34,162.8,68.6,25.9
Ricky Edwards,male,53,174,84.5,27.9
Lydia Cox,female,33,160.3,68.9,26.8
Ian Jimenez,male,64,179.7,82.7,25.6
Lucy Edwards,female,26,161.4,80.2,30.8
Ann Ramirez,female,50,166.2,68.8,24.9
Allen Hicks,male,59,178.8,93.7,29.3
Misty Davis,female,50,168.2,101.8,36
Perry Turner,male,56,185.9,107.1,31
Javier Lewis,male,22,185.9,113.4,32.8
Joyce Martin,female,24,161.5,59.7,22.9
Timothy Sanders,male,80,178,94.1,29.7
Jordan Gilbert,male,48,188.7,125.7,35.3
Jay Stevens,male,22,171.6,70.4,23.9
