name,sex,age,height,mass,bmi
Jimmy Allen,male,41,180.6,124.9,38.3
Michelle Lucas,female,32,155.7,65.7,27.1
Clinton Griffin,male,35,177.4,88.1,28
John Cruz,male,31,184.6,125.4,36.8
Leon West,male,62,184.1,92.2,27.2
Lena Peters,female,63,168.9,39.1,13.7
Sally Tucker,female,79,175.6,92.5,30
Ken Craig,male,70,174.3,69.3,22.8
Victor Hanson,male,60,171.2,108.2,36.9
Ruby Banks,female,49,155.9,67.3,27.7
Elaine Ryan,female,61,173.3,72.1,24
Brandy Washington,female,44,159.7,59.9,23.5
Wayne Chapman,male,50,173.8,47.4,15.7
Hugh Murray,male,51,171.9,100.8,34.1
Lillie Hanson,female,28,177.2,72.8,23.2
Ron Curtis,male,27,176.3,86.4,27.8
Michael Turner,male,22,167,78.9,28.3
Karen Russell,female,76,165.1,73.1,26.8
Dolores Rivera,female,78,166.4,56.5,20.4
Arnold Knight,male,84,173.9,95.9,31.7
Michael Hamilton,male,47,174.8,98.7,32.3
Jane Jacobs,female,78,168.9,58.8,20.6
Jeanette Griffin,female,33,163.8,67.9,25.3
Joe Graham,male,81,183.9,120.4,35.6
Marsha Brewer,female,44,167.1,108.6,38.9
Ernest Garza,male,36,177.1,88.8,28.3
Willie Hall,female,46,163.2,80.7,30.3
Alberto Ray,male,69,166.3,80.5,29.1
Sara Carroll,female,87,161.3,94.4,36.3
Lorraine Lowe,female,44,152.8,55.1,23.6
