name,sex,age,height,mass,bmi
Carla Little,female,60,155.2,67,27.8
Luis Palmer,male,89,174.5,78,25.6
Erin Castillo,female,71,164.3,72.3,26.8
Frances Daniels,female,58,160.9,81,31.3
Nancy Terry,female,70,162.9,91.8,34.6
Carl Holt,male,80,173.2,112.2,37.4
John Snyder,male,54,183,97.1,29
Jeffrey Peterson,male,54,179,92.9,29
Lillian Castro,female,78,163.3,83.5,31.3
Harold Gardner,male,75,172.3,77.5,26.1
Jared Morales,male,65,170,85.3,29.5
Richard Banks,male,72,171.5,102.6,34.9
Steven Patterson,male,44,182.6,102.4,30.7
Oscar George,male,69,172.4,92.4,31.1
Glen Lane,male,48,173.9,42.6,14.1
Calvin Beck,male,73,178.1,93.6,29.5
Nicholas Gomez,male,40,187.5,137.1,39
Mike Cook,male,79,178.5,95.3,29.9
Teresa Stephens,female,65,154.2,78,32.8
Clara Warren,female,71,152.5,57,24.5
Tiffany Phillips,female,76,180.1,106.4,32.8
Heidi Watson,female,83,160.7,77,29.8
Darlene Shelton,female,46,154.2,49,20.6
Irma Allen,female,55,159.8,79.2,31
Russell Graves,male,75,166.1,75,27.2
Kimberly Martin,female,81,160.5,71.1,27.6
Bobbie Lynch,female,24,162.9,78.3,29.5
Joyce Roberts,female,27,151.8,71.9,31.2
Everett Dixon,male,61,175.7,75.6,24.5
Teresa Craig,female,49,144.2,53.6,25.8
