name,sex,age,height,mass,bmi
Melinda Robertson,female,44,175.1,85.8,28
Aaron Chambers,male,25,171.9,87.8,29.7
Daniel Bowman,male,64,168.5,84.3,29.7
Gary Hale,male,56,174.5,78.3,25.7
Kay Pena,female,65,167.9,89.9,31.9
Billie Fernandez,female,53,172.5,82.1,27.6
Kimberly Sanchez,female,54,166.5,78.2,28.2
Melinda Long,female,83,160,50.9,19.9
Megan Hicks,female,26,155.2,49.1,20.4
Tina Watts,female,23,163.7,66.5,24.8
Anna Dixon,female,71,160.9,95.5,36.9
Gordon Duncan,male,54,177.2,63.7,20.3
Craig Cook,male,63,174.6,127.1,41.7
Mark Thomas,male,73,169.6,78.8,27.4
Eddie Silva,male,25,176.5,98.8,31.7
Mario Cunningham,male,87,159.9,73.4,28.7
Audrey Ruiz,female,46,157,75.2,30.5
Wayne Butler,male,48,176.2,97.8,31.5
Clarence Henderson,male,75,164.4,53.8,19.9
Jeanne Carlson,female,69,163.4,86.2,32.3
Dave Jimenez,male,82,171.6,61.8,21
Lloyd Weaver,male,78,179.5,89.6,27.8
Troy Ross,male,25,163.3,81.6,30.6
Sarah Perez,female,35,175.4,102.4,33.3
Carla Peterson,female,48,159,53.3,21.1
Vivian Reid,female,56,173.6,120.8,40.1
Norma Hill,female,34,173.4,54.4,18.1
Tracy Douglas,female,42,162.9,46.4,17.5
Eugene Bishop,male,78,178.5,100,31.4
Raul Lynch,male,71,169.1,80.4,28.1
