name,sex,age,height,mass,bmi
Rebecca Edwards,female,42,182.5,129.2,38.8
Ethel Jordan,female,35,169.3,76.2,26.6
Jesse Jackson,male,42,171.3,107.7,36.7
Debra Lucas,female,38,168.1,41.8,14.8
Christy Warren,female,39,157.9,54.4,21.8
Ida Terry,female,57,158.1,75.7,30.3
William Brewer,male,31,176.1,48.4,15.6
Lance Chavez,male,36,174.2,88.3,29.1
Frances Ortiz,female,85,158.2,55.8,22.3
Marion Jennings,male,36,165.7,78,28.4
Tracy Patterson,male,28,171.1,97.8,33.4
Albert Webb,male,40,168.8,97.4,34.2
Allison Barnett,female,55,163,63.5,23.9
Annette Fields,female,22,164.3,69.4,25.7
Vernon Banks,male,69,162.3,87.5,33.2
Glenda Mendoza,female,81,159.2,91,35.9
Ruth Richardson,female,81,170.3,92.2,31.8
Carmen Jensen,female,58,171.1,67,22.9
Stephanie Rhodes,female,50,164.2,78.7,29.2
Armando Clark,male,72,187,86.7,24.8
Kyle Banks,male,24,180.3,103.4,31.8
Claude Jordan,male,83,177.1,69.9,22.3
Tyler Martin,male,41,189.9,114.7,31.8
Fred West,male,68,176,94.2,30.4
Luis Caldwell,male,36,160.8,87.4,33.8
Heather Bryant,female,86,155.4,48.8,20.2
Virgil Coleman,male,89,178.9,84.8,26.5
Chester Fields,male,47,187.2,119.8,34.2
Amanda Torres,female,49,157.8,57.8,23.2
Sue Rice,female,75,161.3,27.8,10.7
