name,sex,age,height,mass,bmi
Jose Long,male,83,175.8,73.9,23.9
Jay Webb,male,39,188.5,116.5,32.8
Willie Garrett,female,84,172,56.5,19.1
Stephanie Fisher,female,32,155.7,67.4,27.8
Tanya Baker,female,56,164.3,79.4,29.4
Jessie Cunningham,female,80,156.2,70.8,29
Kurt Snyder,male,24,185,86.6,25.3
Kent Daniels,male,41,184.9,98.5,28.8
Willard Holmes,male,85,180.8,88.9,27.2
Alicia Willis,female,37,166.8,89.6,32.2
Jerome Thompson,male,74,167.6,77,27.4
Tracy Lawrence,female,55,150.5,78.1,34.5
George Walker,male,24,186.5,112.7,32.4
Jon Carpenter,male,76,171.1,96.9,33.1
Charles Bradley,male,61,165.1,69.8,25.6
Julia Douglas,female,59,162.6,79.8,30.2
Cynthia Wells,female,83,170.2,85.7,29.6
Martin Carter,male,78,163.1,95.2,35.8
Danny Young,male,47,191.5,88.4,24.1
Georgia Fuller,female,24,166.8,76.5,27.5
Vernon Price,male,87,175.4,92.6,30.1
Kay Andrews,female,80,162.8,89.6,33.8
Joy Jordan,female,72,154.7,57,23.8
Marlene Elliott,female,41,167.8,82.8,29.4
Roger Phillips,male,61,166.8,71.2,25.6
Clayton Clark,male,44,170.7,73.1,25.1
Elmer Duncan,male,45,172.7,122.9,41.2
Teresa Ortiz,female,47,160.9,85.2,32.9
Robin Holmes,female,26,170.8,134.5,46.1
Georgia Hunt,female,80,155.8,52.2,21.5
