name,sex,age,height,mass,bmi
Suzanne Jensen,female,34,167,89,31.9
Joshua Barnes,male,37,176.1,58.9,19
Gina White,female,29,175.2,65.1,21.2
Keith Baker,male,77,174.2,84.1,27.7
Richard Daniels,male,82,171.9,89.8,30.4
Lonnie Sanchez,male,51,169.2,56.4,19.7
Marshall Horton,male,42,180.1,114.8,35.4
Russell Miller,male,30,168.4,110.3,38.9
Erin Wade,female,75,163.4,74.5,27.9
Derek Harvey,male,54,168.7,73.4,25.8
Darlene Wells,female,36,166.6,52.2,18.8
Dwayne Harrison,male,84,172.6,93.8,31.5
Stephen Warren,male,52,164.3,82.1,30.4
Janet Perez,female,54,162.3,113.3,43
Travis Davis,male,64,177.2,104.6,33.3
Katie Snyder,female,57,169.3,106.3,37.1
Martin Day,male,70,181.4,83.3,25.3
William Jennings,male,45,167.2,60.9,21.8
Tracy Jones,female,88,160.4,50.7,19.7
Tanya Gomez,female,87,171,48.8,16.7
Deborah Nelson,female,41,155.3,53.8,22.3
Amanda Peters,female,64,171.4,121.6,41.4
Terri Cox,female,69,170.1,87.4,30.2
Shirley Bradley,female,65,163.3,41.9,15.7
Tammy Moore,female,26,160.4,62.8,24.4
Daisy Woods,female,32,157.5,62,25
Benjamin Weaver,male,75,159,75.6,29.9
Justin Allen,male,81,178,83.6,26.4
Tiffany Carr,female,83,147.9,41.8,19.1
Ronald Jones,male,65,168.2,99,35
