name,sex,age,height,mass,bmi
Ramon Montgomery,male,29,177.2,100.5,32
Amy Mckinney,female,58,153.7,53.4,22.6
Jeanne Turner,female,87,166.9,55.2,19.8
Greg Williamson,male,45,179.2,76.1,23.7
Violet Frazier,female,34,162.3,91.7,34.8
William Barnett,male,81,170.9,74.8,25.6
Randy Carter,male,28,169.6,64.7,22.5
Alice West,female,43,160.2,46.5,18.1
Greg Ruiz,male,73,177,97.4,31.1
Gordon Perkins,male,34,178.2,104.8,33
Ann Campbell,female,78,165.8,64.9,23.6
Brett Fowler,male,35,164.5,57.9,21.4
Claude Wells,male,42,180.6,98.8,30.3
Ben Ruiz,male,86,163.9,86,32
Michelle Stephens,female,35,163.4,59.3,22.2
Alexander Hudson,male,42,162.5,76.8,29.1
Gerald Torres,male,69,167.3,89.3,31.9
Deanna Lopez,female,38,162.6,84.6,32
Dolores Myers,female,22,162.7,105.1,39.7
Roberta Barnes,female,87,157.7,64.9,26.1
Robin Herrera,female,23,161.2,97.7,37.6
Lauren Boyd,female,56,169.4,86.4,30.1
Lena Marshall,female,71,168,64.6,22.9
George Stephens,male,22,175.8,98.9,32
Gregory Rivera,male,39,166.8,96,34.5
Timothy Vasquez,male,66,182.2,81.7,24.6
Claire Meyer,female,30,160.7,89.1,34.5
Erika Richards,female,85,162.1,51.2,19.5
Jared Wright,male,25,183.7,107.6,31.9
Kelly Watson,female,29,160.5,68,26.4
