name,sex,age,height,mass,bmi
Roy Mckinney,male,81,179.6,88.4,27.4
Kent Wood,male,52,182,102.7,31
Randy Morales,male,41,170.2,90.1,31.1
Neil Carr,male,46,168.4,93.6,33
Kelly Bailey,female,25,161.2,110.4,42.5
Eugene Wade,male,49,179.9,101,31.2
Rhonda Grant,female,68,169.5,75.6,26.3
Shirley Hicks,female,38,175.4,80.3,26.1
Wendy Austin,female,50,158.8,92.3,36.6
Helen Richards,female,73,163.8,87.2,32.5
Seth Hall,male,54,176.4,88.1,28.3
Vincent Alexander,male,67,182.6,89,26.7
Lillian Henry,female,46,158.7,68.8,27.3
Gary Willis,male,79,192.7,128.1,34.5
Terry Elliott,female,58,156.9,69.7,28.3
Carolyn Castro,female,62,161.7,65.6,25.1
Charlie Russell,male,51,174.1,86.4,28.5
Cindy Ferguson,female,42,186.4,97.6,28.1
Johnnie Mckinney,male,31,164.1,86.7,32.2
Danny Barrett,male,61,171.6,89.8,30.5
Angel Baker,male,52,169.8,88.8,30.8
Elizabeth Hale,female,48,159.1,43.3,17.1
Deborah Wallace,female,22,161.2,91.5,35.2
Lucille Patterson,female,24,158.1,74.2,29.7
Rhonda Lucas,female,52,167.8,122.8,43.6
Jose Rhodes,male,32,183.9,72,21.3
Matthew Jordan,male,72,177.4,91,28.9
Joyce Phillips,female,56,160.8,55.9,21.6
Bob Davidson,male,74,175.2,84.4,27.5
Virginia Day,female,88,160.3,88.7,34.5
