name,sex,age,height,mass,bmi
Stella Morgan,female,61,156.1,61.9,25.4
Chester Davidson,male,46,174.3,91.1,30
Paula Caldwell,female,46,155.6,83,34.3
Glenn Austin,male,87,169.7,93.9,32.6
Nina Ryan,female,60,154.3,39.3,16.5
Daryl Ramirez,male,38,165.3,86.1,31.5
Helen Williams,female,53,159,90.5,35.8
Ron Stanley,male,51,169.4,127.1,44.3
Eleanor Fuller,female,68,165,59.9,22
Alma Barrett,female,71,166.2,90.9,32.9
Diane Shaw,female,48,174.1,50.3,16.6
Diana Ortiz,female,50,164.6,48.2,17.8
Helen Crawford,female,62,147.9,87.1,39.8
Florence Brooks,female,78,163.9,78.4,29.2
Paula Palmer,female,27,167.1,94.1,33.7
Glenn Burton,male,73,170.4,79.8,27.5
Ron Daniels,male,31,173.7,92.6,30.7
Tyrone Baker,male,42,180.2,99,30.5
Rose Reed,female,84,161.4,67.2,25.8
Andrea Little,female,46,154.7,75.6,31.6
Edith Cook,female,74,160.8,77.6,30
Jay Shaw,male,48,174.2,97.4,32.1
Justin Young,male,30,175.2,119.1,38.8
Jessie Porter,male,33,187.9,126,35.7
Richard Marshall,male,58,169.3,105.8,36.9
Alfred Reynolds,male,79,176.6,97,31.1
Stanley Foster,male,81,178.6,77.8,24.4
Zachary Mcdonald,male,87,164,57.3,21.3
Frank Meyer,male,79,182.7,89.5,26.8
Gina Dixon,female,83,157.9,55.8,22.4
