name,sex,age,height,mass,bmi
Sherry Gonzales,female,22,166.6,71.3,25.7
Martin Gutierrez,male,37,191.4,92.3,25.2
Max Johnston,male,27,172,85.2,28.8
Norma Mccoy,female,36,168.8,56.7,19.9
Jessica Holland,female,57,155.8,58,23.9
Christine Lopez,female,82,156.5,81.3,33.2
Roberto Hanson,male,65,160.6,71.2,27.6
Beverly Cooper,female,77,164.2,69.3,25.7
Sean Lucas,male,70,176.8,62.2,19.9
Ana Parker,female,25,159.6,77.9,30.6
Mitchell Porter,male,27,172.5,67.5,22.7
Louis Wood,male,68,176.6,87,27.9
Naomi Willis,female,68,179.1,91.1,28.4
Michael Oliver,male,74,170.1,73.5,25.4
Joann Price,female,59,168.4,68.9,24.3
Helen Watts,female,43,165.1,70.9,26
Katrina Berry,female,47,152.8,49.5,21.2
Julio Stanley,male,37,173.7,53.7,17.8
Charlene Neal,female,32,184.9,96.8,28.3
Anthony Shelton,male,34,166.9,76.3,27.4
Amy Moore,female,54,149.9,38.6,17.2
Edward Armstrong,male,62,177.6,85.2,27
Bob Ross,male,31,185.7,93.8,27.2
Seth Thomas,male,52,178.6,121.2,38
Francis Hawkins,male,32,172,97,32.8
Ella Mccoy,female,48,138.4,63,32.9
Roy Bryant,male,43,167.8,46.7,16.6
Jeanne Brewer,female,44,151.1,72.8,31.9
Mattie Lambert,female,78,160.6,69.1,26.8
Roland Dunn,male,55,168.3,69.7,24.6
