name,sex,age,height,mass,bmi
Timothy Reyes,male,60,165.6,92.7,33.8
Cynthia Bowman,female,27,166.9,78.8,28.3
Mabel Greene,female,34,163,76.5,28.8
Gilbert Reynolds,male,45,162,96.8,36.9
Heather Pierce,female,23,165.8,57.5,20.9
Ashley Collins,female,45,176.6,66.4,21.3
Morris Newman,male,83,175.4,103.7,33.7
Eddie Morrison,male,40,189.8,73.8,20.5
Brett Byrd,male,44,164,72.6,27
Lori Fowler,female,29,149.6,22.8,10.2
Billy Fletcher,male,69,186.5,102.6,29.5
Carla Evans,female,50,158.2,65.1,26
Jerome Frazier,male,68,175.5,72.1,23.4
Diana Martin,female,62,166.6,73.8,26.6
Ruben Bennett,male,41,174.7,66.5,21.8
Tina Hayes,female,57,155.1,85.9,35.7
Ruben Thompson,male,50,176.7,91.8,29.4
Velma Sanders,female,73,164,82.3,30.6
Alan Thompson,male,66,171.8,90,30.5
Earl Shaw,male,31,178.6,81,25.4
Penny Palmer,female,46,155,68.7,28.6
Doris Mccoy,female,54,160.9,71.7,27.7
Crystal Grant,female,82,168.8,71.8,25.2
Alberto Stone,male,80,171.3,99.2,33.8
Colleen Powell,female,73,166.1,66.5,24.1
Herbert Holt,male,28,181.1,117.7,35.9
Mabel Stanley,female,45,167.1,67.6,24.2
Laura Dunn,female,62,144,57.2,27.6
Alan Horton,male,56,174.8,74.2,24.3
Troy Rivera,male,43,170.8,88.1,30.2
