name,sex,age,height,mass,bmi
Deanna Rodriquez,female,42,159.6,73.1,28.7
Lauren Lucas,female,77,163.1,58,21.8
Betty Snyder,female,62,160.9,102.8,39.7
Wendy Perry,female,64,157.3,78.2,31.6
Hilda Bowman,female,62,151.3,59.5,26
Frances Austin,female,53,157.4,72.1,29.1
Ross Rodriguez,male,64,161.9,75.8,28.9
Bradley Burton,male,52,180.7,112.7,34.5
Debbie Riley,female,49,164.3,57,21.1
Yolanda Duncan,female,55,157.8,62.5,25.1
Mike Henry,male,68,179.5,88.6,27.5
Beth Mason,female,61,159.3,76.1,30
Norman Martin,male,59,186,139.1,40.2
Courtney Hill,female,84,155,48.3,20.1
Yolanda Willis,female,83,159.9,90.5,35.4
Clyde Jenkins,male,82,187.3,102.8,29.3
Misty Ford,female,80,159.3,69.8,27.5
Mathew Nguyen,male,29,171.4,87.3,29.7
Cindy Thompson,female,37,150.5,54.8,24.2
Nicholas Marshall,male,27,158.1,68.7,27.5
Tanya Hanson,female,58,167.5,120.9,43.1
Megan Bailey,female,78,168.4,90.5,31.9
Adam Chavez,male,51,164.5,82.3,30.4
Jorge Rodriguez,male,45,182.9,67.9,20.3
Don Bryant,male,60,178.5,98.1,30.8
Thomas Peterson,male,28,188.8,88,24.7
Dennis Mason,male,26,179.3,77.5,24.1
Alberto Silva,male,32,172.4,69,23.2
Christian Hayes,male,35,173.6,86.5,28.7
Carl Curtis,male,34,181.8,85.6,25.9
