name,sex,age,height,mass,bmi
Michelle Peters,female,56,168.9,45.1,15.8
Steven Morrison,male,69,175.8,77.9,25.2
Samantha Dunn,female,23,152.5,67.9,29.2
Ronnie Fox,male,56,165.3,70.8,25.9
Judy Rodriquez,female,78,169.7,69.1,24
Matthew Robinson,male,23,167.9,80.1,28.4
Mildred Stewart,female,40,148.4,63.2,28.7
Matthew Barrett,male,72,171.5,70.6,24
Marshall Spencer,male,62,173.2,101.4,33.8
Karen Chavez,female,86,162.3,87.7,33.3
Joseph Wells,male,29,163.5,87.4,32.7
Rachel Parker,female,79,157.4,55.5,22.4
Yolanda Burton,female,28,159.6,59.1,23.2
Steven Griffin,male,39,164.8,66.3,24.4
Angela Wallace,female,57,162.6,66.1,25
Tamara Welch,female,48,168.5,93.1,32.8
Robert Black,male,72,169.6,103.6,36
Emily Bennett,female,58,167.1,49.7,17.8
Kirk Watson,male,80,162,95.5,36.4
Terrance Murphy,male,83,179,117.6,36.7
Misty Montgomery,female,31,159.5,79.4,31.2
Linda Graham,female,72,172.7,85.6,28.7
Lisa Bowman,female,87,168,69.1,24.5
Claude Freeman,male,61,168,62.9,22.3
Veronica Thompson,female,28,153.3,65.8,28
Willard Nguyen,male,67,184.3,80.2,23.6
Isaac Thompson,male,40,188.9,115.6,32.4
Casey Byrd,male,38,160.1,98.4,38.4
Russell Kim,male,50,168.8,103.4,36.3
Teresa Carr,female,70,158.5,66.6,26.5
