name,sex,age,height,mass,bmi
Eileen Elliott,female,24,166.8,41.2,14.8
Floyd Harrison,male,53,192.4,138.1,37.3
Ian Harris,male,39,171.6,80.4,27.3
Sonia Johnston,female,70,153.5,75.4,32
Stacey Hicks,female,47,156.8,80.2,32.6
Dana Rhodes,female,65,170.2,96.8,33.4
Katrina Peterson,female,68,166.2,35.9,13
Cody Pena,male,30,169.8,98.6,34.2
Donald Hopkins,male,71,176.3,89.5,28.8
Vickie Coleman,female,47,162.8,67.6,25.5
Chad Fowler,male,60,164.6,81.8,30.2
Lisa Chambers,female,42,153,65.5,28
Anne Patterson,female,51,159.8,86.6,33.9
Rachel Ruiz,female,73,160.9,53.8,20.8
Tracy Warren,female,82,153.3,71.7,30.5
Ralph Richards,male,40,171.7,87,29.5
Luis Ortiz,male,61,164.4,96.2,35.6
Mark Dunn,male,39,175.8,102.9,33.3
Duane Robertson,male,62,171.9,62.6,21.2
Troy Rice,male,21,167,83.4,29.9
Stephanie Reed,female,75,150.1,77.1,34.2
Alan Richardson,male,40,181.6,102.9,31.2
Glen Frazier,male,23,179.3,85.8,26.7
Kevin Hopkins,male,33,183.1,97.2,29
Courtney Sullivan,female,42,159.7,87,34.1
Alex Carr,male,81,169,77.4,27.1
Nicole Richardson,female,46,160.8,66.2,25.6
Walter Powell,male,39,164.9,79.7,29.3
Melissa Caldwell,female,48,152.5,67.7,29.1
Sherry Daniels,female,25,160,77.3,30.2
