name,sex,age,height,mass,bmi
Sherri Franklin,female,65,167.4,74.5,26.6
Lance Mason,male,73,179.6,91.9,28.5
Alex Jordan,male,45,180.9,115.2,35.2
Kristin Matthews,female,88,150,59.6,26.5
Tina Jacobs,female,66,169.2,59,20.6
Nelson Hudson,male,69,180.2,82.8,25.5
Russell Carpenter,male,45,172.2,81.8,27.6
Timothy Carr,male,88,174.8,92,30.1
Sally Robinson,female,37,154.9,86.6,36.1
Johnny Stewart,male,59,179.3,79.7,24.8
Misty Pierce,female,44,176.2,87.6,28.2
Alex Holland,male,86,168.5,78.1,27.5
Melissa Bishop,female,26,173.8,81,26.8
Craig Rose,male,40,166,73.9,26.8
Regina Jordan,female,45,159.7,67.8,26.6
Jim Larson,male,56,180,111.1,34.3
Maureen Franklin,female,35,165.6,83.9,30.6
Brian Frazier,male,47,184.6,118.2,34.7
Freddie Diaz,male,79,184.8,106.9,31.3
Frank Graham,male,63,182.3,113,34
Erika Mason,female,44,165.9,105.7,38.4
Penny Walters,female,51,165.8,75,27.3
Linda Sims,female,77,166.8,63.7,22.9
Glenda Kelly,female,56,167.6,98.9,35.2
Jimmy Lopez,male,50,178.2,74.9,23.6
Donald Barrett,male,51,179.9,94.8,29.3
Billie Cooper,female,53,174,51.5,17
Tara Graham,female,74,147.9,61.7,28.2
Adrian Kelly,male,31,180.6,102.7,31.5
Lillie Collins,female,70,163.9,90,33.5
