name,sex,age,height,mass,bmi
Zachary Vargas,male,72,183.2,107.1,31.9
Velma Hoffman,female,80,165.1,53.4,19.6
Angela Rose,female,46,171.1,72.3,24.7
Alvin Vargas,male,80,183,99.5,29.7
Mildred Simpson,female,51,167.5,49.4,17.6
Audrey Barrett,female,35,163.6,55.7,20.8
Jesus Murray,male,38,177.2,77.9,24.8
Joy Mason,female,24,170.6,48.9,16.8
Lucy Wilson,female,36,167.6,106.7,38
Katie Gilbert,female,66,161.1,76,29.3
Harvey Cooper,male,62,170.1,72.9,25.2
Lee King,male,47,166.9,82.2,29.5
Tyrone Edwards,male,88,172.6,70.9,23.8
Don Daniels,male,41,171.9,92.2,31.2
Cody Walters,male,42,192.3,93.6,25.3
Stephanie Hansen,female,70,162.1,72,27.4
Eugene Spencer,male,84,187.7,118.7,33.7
Sidney Johnston,male,64,173.5,78.9,26.2
Joel Elliott,male,70,170.9,75.9,26
Joyce Burton,female,45,154,49.3,20.8
Jerry Wallace,male,62,189,93.6,26.2
Martha Simmons,female,22,155.1,85.9,35.7
Fernando Carpenter,male,25,168.9,75.3,26.4
Kristina Hart,female,34,167.7,88,31.3
Anita Reynolds,female,62,159.4,83.1,32.7
Constance Sullivan,female,71,151.7,48.1,20.9
Misty Gardner,female,56,157.9,63.6,25.5
Betty Ward,female,29,178,74.5,23.5
Kurt Murphy,male,57,180.3,93.3,28.7
Patrick Bennett,male,33,165.3,89.6,32.8
