name,sex,age,height,mass,bmi
Brenda Scott,female,73,155.8,69.9,28.8
Irma Mccoy,female,48,154.7,82.8,34.6
Jenny Willis,female,26,155,63.4,26.4
Roy Wood,male,60,185.4,84.2,24.5
Juan Rice,male,54,174.6,82.3,27
Willie Bowman,male,35,173.6,93.7,31.1
Theodore Bell,male,31,179.1,81.8,25.5
Dustin Rivera,male,56,180.1,90.8,28
Fernando Jennings,male,29,171.4,62.9,21.4
Angel Ross,male,32,167,87.6,31.4
Mabel Edwards,female,77,166.6,82.2,29.6
Janet Daniels,female,48,171.1,80.8,27.6
Renee Martinez,female,58,166.5,75.7,27.3
Barbara Miles,female,22,153.9,59.2,25
Gloria Payne,female,58,168.5,68.1,24
Marvin Hopkins,male,34,181.8,87.3,26.4
Leslie Sullivan,female,87,167.2,78,27.9
Juan Ferguson,male,87,169.5,69.2,24.1
Roger Anderson,male,49,170.6,84.7,29.1
Judy Shaw,female,68,170.6,104.8,36
Edward Stephens,male,68,177.9,86.7,27.4
Grace Mitchell,female,38,156.3,53.7,22
Annie Smith,female,58,160.2,65.2,25.4
Clifton Duncan,male,75,187.4,94.8,27
Eddie Bishop,male,30,171,71.6,24.5
Cassandra Greene,female,40,166.1,46.6,16.9
Ruth Martinez,female,86,179.8,119.3,36.9
Ken Murphy,male,42,181.4,107.9,32.8
Ronald Holt,male,77,178.3,80.1,25.2
Phyllis Banks,female,65,167.3,66.3,23.7
