name,sex,age,height,mass,bmi
Charlie Martinez,male,35,185.3,85.2,24.8
Vickie Shelton,female,22,165.4,43.5,15.9
Rick Caldwell,male,40,171.7,64,21.7
Josephine Duncan,female,29,157,64.8,26.3
Ruben Cook,male,88,169.7,61.9,21.5
Bernard Arnold,male,32,179,94.5,29.5
James Johnson,male,52,158.3,68.7,27.4
Robert Kelly,male,32,186.4,109.8,31.6
Cathy Kennedy,female,64,144,43.8,21.1
Georgia Cole,female,21,169.2,64.7,22.6
Suzanne Larson,female,30,153.4,59.3,25.2
Constance Hayes,female,35,161.9,81.5,31.1
Ruth Miller,female,55,155.4,66.9,27.7
Steven Shaw,male,80,162.7,100.9,38.1
Tracy Daniels,male,70,183.4,93.2,27.7
Floyd Washington,male,24,185.3,77.3,22.5
Sherri Vargas,female,54,160,63.7,24.9
Ruth Montgomery,female,59,167.9,114.5,40.6
Cody Wilson,male,84,186.9,81,23.2
Erin Miles,female,52,156.7,68.8,28
Stacey Ferguson,female,45,159.6,40,15.7
Tom Alexander,male,47,184.6,94.1,27.6
Alma Wade,female,69,159.9,58.3,22.8
Minnie Johnson,female,29,158.4,77.5,30.9
Antonio May,male,47,167.5,85.3,30.4
Willie Stanley,male,87,173,97,32.4
Sean Tucker,male,27,186.4,97.3,28
Roberta Patterson,female,54,160.9,81.8,31.6
John Vasquez,male,68,183.6,107.2,31.8
Brittany Griffin,female,66,168.3,79,27.9
