name,sex,age,height,mass,bmi
Nelson Byrd,male,23,185.6,100.2,29.1
Joshua Arnold,male,41,191.8,102.3,27.8
Amy Patterson,female,84,161.5,73,28
Donna Wheeler,female,24,163,72.8,27.4
Ralph Watson,male,55,170.3,71.6,24.7
Luis Richardson,male,65,170.3,90.8,31.3
Alberto Moreno,male,49,160.8,69.8,27
Willie Fletcher,female,80,152.5,67.7,29.1
Reginald Collins,male,42,181.5,78.7,23.9
Lauren Walters,female,85,162.1,76.2,29
Fernando Hoffman,male,27,170.8,83.4,28.6
Javier Gregory,male,61,171.7,115,39
Neil Banks,male,79,170,64.2,22.2
Suzanne Rice,female,63,166.3,85.2,30.8
George Long,male,29,187.4,95.9,27.3
Lynn Johnson,female,79,176.6,106.3,34.1
Christy Alexander,female,63,158.8,43.4,17.2
Eric Barrett,male,44,182,83.8,25.3
Laura Fleming,female,28,153.9,75.6,31.9
Marlene Terry,female,58,164.8,86.4,31.8
Michael Jimenez,male,46,169.9,73.6,25.5
Alma Chapman,female,39,149,95.9,43.2
Claudia Lopez,female,63,161.7,69.3,26.5
Delores Morgan,female,87,163.3,93.1,34.9
Frederick Frazier,male,74,170.5,72.4,24.9
Shannon Little,female,66,161.7,73.2,28
Colleen Grant,female,38,161,99.3,38.3
Frederick Mills,male,43,175.3,59,19.2
Ian Torres,male,89,183.8,100,29.6
Penny Beck,female,68,152.7,86.7,37.2
