name,sex,age,height,mass,bmi
Gertrude Carroll,female,38,159.7,81.1,31.8
Charlotte Holland,female,28,159.4,56.7,22.3
Frances Banks,female,37,151.2,43.2,18.9
Sharon Fuller,female,57,151.4,57.5,25.1
Jeanne Ramos,female,86,165.3,77.6,28.4
Ron Morris,male,75,173.5,66.5,22.1
Gail Jenkins,female,40,151.7,70.9,30.8
Alexander Gonzalez,male,31,175.3,66.7,21.7
Elaine Campbell,female,73,159.4,51.6,20.3
Todd Dean,male,80,171.2,72.7,24.8
Mike Craig,male,63,173,78.1,26.1
Valerie Myers,female,69,163.2,75.6,28.4
Alma Day,female,34,163.7,59,22
Fernando Wallace,male,64,183.5,74.8,22.2
Mario Hughes,male,45,172.6,84.3,28.3
Victoria Herrera,female,26,152.1,73.1,31.6
Ruth Hicks,female,29,153.5,47.1,20
Bobby Boyd,male,37,171,90.9,31.1
Samantha Hanson,female,52,167.1,63.9,22.9
Gary George,male,55,170,69.9,24.2
Erik Walters,male,52,178.9,85.1,26.6
Andrew George,male,72,178.2,86.7,27.3
Darren Barrett,male,45,172.8,97,32.5
Nathaniel Cruz,male,63,184.3,90.4,26.6
Ricky Fisher,male,83,183.3,61.5,18.3
Katie Cook,female,80,157.8,52.8,21.2
Holly Soto,female,74,153.4,63.3,26.9
Tyler Harvey,male,83,184.2,87.2,25.7
Marian King,female,24,172.3,52,17.5
Troy May,male,53,175.1,102.4,33.4
