name,sex,age,height,mass,bmi
Amy Riley,female,81,157.7,65.7,26.4
Jackie Gordon,female,39,155.8,54.4,22.4
Ethel Carpenter,female,46,150.9,82.4,36.2
Larry Wilson,male,80,185.4,103.5,30.1
Ryan George,male,52,165.5,88.2,32.2
Mark Nichols,male,34,179.3,66.5,20.7
Melissa Peters,female,29,171.1,60.9,20.8
Armando King,male,79,174.6,90.2,29.6
Ivan Ortiz,male,88,168.5,76.4,26.9
Lorraine Gibson,female,71,160.7,42.6,16.5
Anthony Gardner,male,71,168.3,82.4,29.1
Wade Kennedy,male,33,174.6,93.3,30.6
Stanley Davis,male,40,170.7,83.6,28.7
Anna Garza,female,75,163.7,77.7,29
Pedro Ferguson,male,37,164.6,107.8,39.8
Thomas Torres,male,46,176.6,74.9,24
Lawrence Green,male,25,182.5,85.9,25.8
Sandra Silva,female,32,159.4,88.9,35
Beverly Hale,female,86,166.4,70.6,25.5
Maxine Caldwell,female,45,154.1,54.6,23
Tommy Cole,male,31,165.6,72.4,26.4
Patrick Payne,male,33,160.5,76.8,29.8
Kim Rhodes,female,40,161.8,57.3,21.9
Lorraine Vargas,female,89,165.3,83.1,30.4
Peggy Jensen,female,84,147.8,45,20.6
Perry Snyder,male,56,185.6,112,32.5
James Hayes,male,34,180.6,85.8,26.3
Anna Carroll,female,73,154,70.7,29.8
Myrtle Wagner,female,67,158.8,47.4,18.8
Rosa Miles,female,27,166.4,83.1,30
