name,sex,age,height,mass,bmi
Douglas Woods,male,59,169.9,94.4,32.7
Vickie Barnes,female,38,171.6,103.7,35.2
Rosemary Jensen,female,64,157.7,69.6,28
Miguel Martin,male,63,173.5,96,31.9
Rachel Howard,female,53,162.5,46.5,17.6
Eric Lowe,male,37,189.7,95.7,26.6
Sarah Cox,female,59,147,77.8,36
Brenda Banks,female,52,166.7,108.4,39
Julian Shelton,male,27,191,117.8,32.3
Regina Holmes,female,31,155.8,47.6,19.6
Megan Woods,female,55,159.9,91,35.6
Jean Knight,female,39,158.3,61.1,24.4
Willie Pierce,male,62,167.5,76.3,27.2
Clinton Robertson,male,59,168.6,62.5,22
Jordan Lucas,male,75,178.7,115.3,36.1
Irma Ramirez,female,59,157.2,80.1,32.4
Edwin Baker,male,70,167.1,65.3,23.4
Virginia Edwards,female,48,167,56.6,20.3
Jessica Garrett,female,41,169.3,70.2,24.5
Samuel Henderson,male,54,184.4,103.7,30.5
Sherri Johnston,female,82,161.3,53.3,20.5
Clayton Herrera,male,27,172.4,93.6,31.5
Joyce Reynolds,female,64,168.2,93.9,33.2
Hilda Murphy,female,72,146.7,57.5,26.7
Jeffrey Matthews,male,84,182.3,102,30.7
Joel Stewart,male,59,164.5,92,34
Sean Cook,male,30,180.5,92.2,28.3
Anita Reid,female,55,165.6,95.2,34.7
Cecil Curtis,male,23,177.8,94.5,29.9
Tyrone OBrien,male,41,178,65,20.5
