name,sex,age,height,mass,bmi
Miguel Barnes,male,84,171.8,98.6,33.4
Stacey Barnett,female,71,155.6,77.2,31.9
Chris Nelson,male,79,162.6,91.7,34.7
Geraldine Castillo,female,75,166.1,65.4,23.7
Ernest Brewer,male,44,182.4,66.5,20
Willie George,male,36,175.1,91.1,29.7
Eva Duncan,female,83,152.7,59,25.3
Don Miles,male,28,185.1,101.8,29.7
Cory Sullivan,male,69,162.2,60.2,22.9
Doris Palmer,female,69,176,111.2,35.9
Bruce Morgan,male,38,165.3,71,26
Rita Williamson,female,34,167,121,43.4
Dennis Sullivan,male,29,173.4,62.8,20.9
Beatrice Bishop,female,57,166.5,105.6,38.1
Deanna Meyer,female,24,167.6,95.5,34
Dwight Mitchell,male,26,180.9,82.5,25.2
Francisco Fernandez,male,76,166.3,77.4,28
Delores Frazier,female,59,164.8,31.2,11.5
Jacob Alexander,male,28,175.7,93.2,30.2
Maurice Castillo,male,75,166.9,54,19.4
Sue Cook,female,71,152.9,68.7,29.4
Maria Lambert,female,59,159.8,54.4,21.3
Joy Vasquez,female,71,173.8,83.4,27.6
Claudia Griffin,female,28,144.3,51,24.5
Virgil Sutton,male,55,188.8,91.6,25.7
Tom Gomez,male,63,173.9,77.7,25.7
Arlene Chapman,female,32,142.8,47.9,23.5
Randall Vasquez,male,81,177.8,107.5,34
Arlene Hart,female,48,165.3,40.4,14.8
Jill Herrera,female,67,172.2,114.2,38.5
