name,sex,age,height,mass,bmi
Renee Neal,female,28,166.2,87.3,31.6
Janet Fletcher,female,28,155.4,74.6,30.9
Misty Adams,female,47,151.5,78.3,34.1
Andy Duncan,male,62,169.6,79.4,27.6
Louise Ross,female,65,167.4,90.2,32.2
Darrell Franklin,male,86,176,77.1,24.9
Derrick Duncan,male,34,176.8,99.7,31.9
Sally Patterson,female,34,167.5,63.4,22.6
Ricky Mckinney,male,69,181.9,85.4,25.8
Brittany Day,female,54,159.7,74.7,29.3
Floyd Meyer,male,59,171.1,116.8,39.9
Mark Harvey,male,23,189.3,62,17.3
Ramona Boyd,female,61,162.5,66.8,25.3
Ashley Peters,female,34,156.9,95,38.6
Ralph Murray,male,45,173.5,95.1,31.6
Louis Marshall,male,35,176.6,106.3,34.1
Ronald Owens,male,46,169.7,96.5,33.5
Lydia Davidson,female,63,164.1,64.4,23.9
Marian Diaz,female,89,171.7,88.1,29.9
Ruth Morales,female,43,159.1,57.5,22.7
Kristin Hale,female,34,159,100.1,39.6
Vanessa Gordon,female,28,163.2,78.8,29.6
Lonnie Snyder,male,54,176.5,87.2,28
Kyle Terry,male,32,172.2,53.1,17.9
Kristen Chapman,female,66,152.3,43.1,18.6
Alan Burns,male,74,181.3,84.1,25.6
Duane Ford,male,28,172.6,87.9,29.5
Brett Scott,male,65,165.8,81.4,29.6
Anna Wagner,female,58,159.9,60.1,23.5
Danny Ramos,male,29,163,56.1,21.1
