name,sex,age,height,mass,bmi
Derek Barnes,male,56,172.2,83.6,28.2
Dave Curtis,male,25,174.2,103.2,34
Laura Carter,female,62,144.2,46.2,22.2
Gloria Baker,female,44,159.1,69.4,27.4
Stanley Andrews,male,72,179.8,85.3,26.4
Joyce Jordan,female,66,172.5,77.7,26.1
Joanne Lucas,female,69,162.6,80.9,30.6
Teresa Lawrence,female,52,161.5,107.7,41.3
Wade Adams,male,53,181.7,109.9,33.3
Beverly Webb,female,78,152.8,63,27
Elaine Bailey,female,89,142.2,42.5,21
Lena Jensen,female,73,161.8,66.8,25.5
Ruben Simmons,male,73,162.3,76.1,28.9
Maurice Torres,male,46,168.2,70.2,24.8
Jennie Walker,female,38,170.2,50.4,17.4
Sonia Morales,female,58,171.3,86.9,29.6
Eileen Oliver,female,54,156.9,63.5,25.8
Hector Frazier,male,66,175.2,101.6,33.1
Enrique Hoffman,male,22,175.5,103.8,33.7
Carlos Mills,male,75,183.4,86.4,25.7
Shawn Ferguson,male,67,167.8,90.7,32.2
Earl Wright,male,77,174.6,76.5,25.1
Eva Knight,female,61,163.2,96.9,36.4
Allen Pierce,male,66,170.7,83.6,28.7
Francisco Newman,male,33,155.9,53.2,21.9
Norman Harper,male,77,183.1,101.6,30.3
Tiffany Burke,female,79,167.4,51,18.2
Derek Stanley,male,78,169.6,67.6,23.5
Diana Washington,female,65,166.5,94,33.9
Marie Curtis,female,33,160,52.7,20.6
