name,sex,age,height,mass,bmi
Gerald Hart,male,23,169,84.8,29.7
Jaime Bates,male,80,170,101.1,35
Doris Kennedy,female,72,170.3,99.2,34.2
Antonio Webb,male,37,180.8,85.3,26.1
Sonia Scott,female,44,165,84.7,31.1
Jose Richards,male,60,186.5,99.5,28.6
Kathryn Hansen,female,35,167.9,80.9,28.7
Jesus Barnett,male,41,177.5,104.3,33.1
Marlene Gonzales,female,76,162.1,106.2,40.4
Naomi Bowman,female,54,171,102.1,34.9
Lloyd Gonzales,male,49,188.9,91.7,25.7
Rhonda Olson,female,23,161.9,64.7,24.7
Michelle Castillo,female,63,153.2,71.6,30.5
Travis Beck,male,40,166.8,99.6,35.8
Ella Garza,female,24,159.6,88.6,34.8
Calvin Vasquez,male,60,178.8,64.6,20.2
Bobbie Mills,female,28,155.3,75.5,31.3
Martha Gutierrez,female,81,162.7,54.8,20.7
Rose Pierce,female,27,157.1,70.6,28.6
Clifton Watts,male,49,192.2,114.9,31.1
Amy Payne,female,83,169.2,73,25.5
Jacqueline Douglas,female,73,177.4,89.1,28.3
Chester Ross,male,57,176.3,61.2,19.7
Lonnie Elliott,male,28,177.7,91.9,29.1
Holly Murray,female,53,159,73.8,29.2
Peggy Soto,female,50,167,119.1,42.7
Tony Rose,male,85,170.4,102.5,35.3
Samuel Rose,male,39,187.1,99.8,28.5
Isaac Harris,male,69,181.5,109,33.1
Rene Soto,male,31,185.4,97.3,28.3
